Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Ian Maatsen, NED,"DF,MF",22-193,4,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,1.04,1.05,0.02,1.05,Matches,AstonVilla
Jaden Philogene Bidace, ENG,FW,22-224,2,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,AstonVilla
Emi Buendía, ARG,MF,27-269,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,AstonVilla
Diego Carlos, BRA,DF,31-188,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,AstonVilla
Joe Gauci, AUS,GK,24-077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,AstonVilla
Sil Swinkels, NED,DF,20-257,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,AstonVilla
Kadan Young, ENG,MF,18-244,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,AstonVilla
Oliwier Zych, POL,GK,20-083,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,AstonVilla
Antoine Semenyo, GHA,FW,24-256,4,4,360.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,1.7,3.2,15.0,7.0,32.0,0.5,0.25,0.75,0.5,0.75,0.38,0.42,0.8,0.38,0.8,Matches,Bournemouth
Illia Zabarnyi, UKR,DF,22-018,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches,Bournemouth
Lewis Cook, ENG,MF,27-229,4,4,353.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.6,4.0,24.0,2.0,0.25,0.0,0.25,0.25,0.25,0.06,0.1,0.16,0.06,0.16,Matches,Bournemouth
Marcus Tavernier, ENG,"FW,MF",25-181,4,4,346.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1,2.1,0.7,2.7,11.0,22.0,30.0,0.26,0.0,0.26,0.26,0.26,0.54,0.17,0.71,0.54,0.71,Matches,Bournemouth
Milos Kerkez, HUN,DF,20-317,4,4,335.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,7.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.01,0.03,Matches,Bournemouth
Justin Kluivert, NED,"MF,FW",25-137,4,3,263.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.8,1.2,7.0,12.0,23.0,0.0,0.34,0.34,0.0,0.34,0.15,0.27,0.42,0.15,0.42,Matches,Bournemouth
Marcos Senesi, ARG,DF,27-132,3,3,256.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Bournemouth
Ryan Christie, SCO,MF,29-210,4,3,223.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,4.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11,Matches,Bournemouth
Evanilson, BRA,FW,24-349,3,3,203.0,2.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9,1.1,0.2,1.3,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.86,0.08,0.93,0.5,0.58,Matches,Bournemouth
Julian Araujo, MEX,DF,23-037,4,2,205.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Neto, BRA,GK,35-062,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
